feature,importance
visitors_lag12,0.6616962183260804
los_angeles_attractions,0.07075165954505845
min_temp_F,0.038816804093406335
things_to_do_in_la_in_february,0.030392596447348073
total_precip_in,0.02912241096241948
month_cos,0.022436270947526354
olvera_street,0.01823254198939846
family_activities_los_angeles,0.014903315498383902
rolling_mean_3,0.014831968451151175
avg_temp_F,0.01312261238639405
los_angeles_history,0.012914995964084764
visitors_lag1,0.010476632859907534
avg_wind_mph,0.008988537801660814
max_temp_F,0.005558793639158596
things_to_do_in_downtown_la,0.005301768174786812
rainy_day_activities_los_angeles,0.004676035854611263
el_pueblo_los_angeles,0.004146714315133755
los_angeles_museums,0.0037484582063300378
la_brea_tar_pits,0.0037043453093224482
griffith_observatory,0.003246947469432663
free_museums_los_angeles,0.00302757728517904
getty_museum,0.0028330342389549937
things_to_do_in_la,0.002442448626597544
things_to_do_in_la_when_it_rains,0.001917583025458177
things_to_do_in_los_angeles,0.0018269654220010602
la_event_season,0.0017813854348386977
historic_district_los_angeles,0.0013599524330179078
historic_attractions_los_angeles,0.00114294054599569
avila_adobe,0.0008477874409706193
living_history_museum,0.0007117329854498494
indoor_things_to_do_in_los_angeles,0.0006684871493414341
month_sin,0.0006203609784016973
historic_house_los_angeles,0.0005318896032408045
historic_sites_california,0.0003785104985666383
things_to_do_in_los_angeles_in_winter,0.0002803614864044811
summer_tourism_season,0.00023745299103553847
interactive_museums_los_angeles,0.00023168732286736672
summer_season,0.00022712155187698727
spring_break,0.00021587488268518936
is_spring,0.00021116208187172555
things_to_do_in_la_in_december,0.0001953038793505835
things_to_do_in_la_in_january,0.00018357159602154136
holiday_season_x,0.00017219298437539459
oldest_building_in_los_angeles,0.00017080598471684583
is_summer,0.00013381706204028428
is_fall,0.00010427092453186308
holiday_season_y,0.0001015037288248373
fall_break,9.35622817233663e-05
has_federal_holiday,8.957207094719489e-05
winter_break,5.603593881375305e-05
mn_only_holiday,4.42319960348479e-05
oldest_house_los_angeles,3.670000593235602e-05
family_things_to_do_in_downtown_la,2.4570988527277704e-05
is_winter,1.6158258677868348e-05
oldest_house_in_los_angeles,4.891733952967059e-06
oldest_home_in_los_angeles,4.6324463264266865e-06
kid_friendly_museums_los_angeles,3.2995300565780395e-06
things_to_do_in_la_for_a_couple_hours,6.753711400645454e-07
historic_house_museum,2.5899165525324796e-07
cultural_experiences_los_angeles,0.0
things_to_do_near_union_station_los_angeles,0.0
