month,trends_los_angeles_history,trends_olvera_street,trends_los_angeles_museums,trends_things_to_do_in_los_angeles,trends_el_pueblo_los_angeles,trends_things_to_do_in_la,trends_la_brea_tar_pits,trends_things_to_do_in_downtown_la,trends_los_angeles_attractions,trends_griffith_observatory,trends_getty_museum,trends_family_activities_los_angeles,trends_free_museums_los_angeles,trends_indoor_things_to_do_in_los_angeles,trends_things_to_do_in_la_in_december,trends_things_to_do_in_la_in_february,trends_things_to_do_in_la_in_january,trends_historic_district_los_angeles,trends_things_to_do_in_los_angeles_in_winter,trends_kid_friendly_museums_los_angeles,trends_avila_adobe,trends_historical_sites_los_angeles,trends_oldest_building_in_los_angeles,trends_historic_sites_california,trends_living_history_museum,trends_mexican_heritage_los_angeles,trends_things_to_do_near_union_station_los_angeles,trends_things_to_do_in_la_when_it_rains,trends_oldest_house_los_angeles,trends_oldest_home_in_los_angeles,trends_family_things_to_do_in_downtown_la,trends_cultural_heritage_los_angeles,trends_things_to_do_in_la_for_a_couple_hours,trends_things_to_do_in_la_for_2_hours,trends_historic_attractions_los_angeles,trends_heritage_tourism_los_angeles,trends_interactive_museums_los_angeles,trends_cultural_experiences_los_angeles,trends_historic_house_los_angeles,trends_historic_house_museum,trends_rainy_day_activities_los_angeles,trends_oldest_house_in_los_angeles,trends_life_in_the_1840s
2014-01,91.0,59.0,81.0,52.0,48.0,42.0,58.0,38.0,70.0,55.0,78.0,64.0,79.0,0.0,0.0,37.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02,82.0,65.0,63.0,54.0,44.0,39.0,56.0,34.0,61.0,47.0,64.0,67.0,31.0,80.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2014-03,94.0,69.0,66.0,58.0,56.0,47.0,65.0,31.0,72.0,52.0,74.0,84.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04,97.0,80.0,61.0,50.0,61.0,43.0,60.0,32.0,73.0,78.0,76.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05,89.0,89.0,50.0,55.0,71.0,39.0,59.0,44.0,64.0,53.0,69.0,0.0,19.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06,94.0,68.0,68.0,67.0,83.0,51.0,67.0,36.0,77.0,60.0,68.0,79.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07,93.0,73.0,79.0,84.0,55.0,63.0,76.0,58.0,100.0,70.0,79.0,82.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08,87.0,68.0,62.0,69.0,82.0,57.0,62.0,53.0,84.0,65.0,71.0,100.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09,72.0,59.0,51.0,50.0,49.0,40.0,44.0,33.0,62.0,41.0,51.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10,65.0,80.0,40.0,43.0,53.0,35.0,42.0,33.0,51.0,42.0,45.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11,62.0,71.0,48.0,46.0,78.0,35.0,45.0,27.0,51.0,40.0,51.0,66.0,10.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12,66.0,62.0,43.0,56.0,0.0,40.0,44.0,37.0,70.0,45.0,59.0,89.0,20.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01,72.0,47.0,83.0,52.0,36.0,43.0,50.0,49.0,56.0,49.0,60.0,81.0,61.0,0.0,0.0,48.0,96.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02,72.0,45.0,54.0,44.0,43.0,38.0,48.0,31.0,51.0,42.0,50.0,0.0,17.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
