month,value,term,lane,theme,geo,source,notes
2018-09,100.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2018-10,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2018-11,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2018-12,66.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2019-01,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2019-02,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2019-03,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2019-04,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2019-05,79.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2019-06,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2019-07,52.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2019-08,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2019-09,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2019-10,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2019-11,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2019-12,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2020-01,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2020-02,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2020-03,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2020-04,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2020-05,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2020-06,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2020-07,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2020-08,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2020-09,55.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2020-10,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2020-11,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2020-12,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2021-01,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2021-02,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2021-03,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2021-04,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2021-05,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2021-06,0.0,Avila Adobe,museum_specific,museum_brand,US-CA,Google Trends via pytrends,Dataset venue; brand search
2014-01,59.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2014-02,65.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2014-03,69.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2014-04,80.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2014-05,89.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2014-06,68.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2014-07,73.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2014-08,68.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2014-09,59.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2014-10,80.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2014-11,71.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2014-12,62.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2015-01,47.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2015-02,45.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2015-03,58.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2015-04,64.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2015-05,68.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2015-06,64.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
2015-07,59.0,Olvera Street,museum_specific,tourism_discovery,US-CA,Google Trends via pytrends,Historic district context for Avila Adobe
