month,trends_los_angeles_history,trends_olvera_street,trends_los_angeles_museums,trends_things_to_do_in_los_angeles,trends_things_to_do_in_la,trends_la_brea_tar_pits,trends_los_angeles_attractions,trends_griffith_observatory,trends_getty_museum,trends_family_activities_los_angeles,trends_free_museums_los_angeles,trends_avila_adobe,trends_oldest_building_in_los_angeles,trends_historic_sites_california,trends_living_history_museum,trends_things_to_do_in_la_when_it_rains,trends_historic_house_los_angeles,trends_historic_house_museum,trends_rainy_day_activities_los_angeles,trends_oldest_house_in_los_angeles,trends_life_in_the_1840s
2016-09,75.0,66.0,48.0,56.0,58.0,54.0,57.0,50.0,48.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10,64.0,100.0,40.0,57.0,54.0,45.0,68.0,51.0,46.0,0.0,14.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11,66.0,67.0,49.0,52.0,58.0,41.0,45.0,51.0,48.0,61.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,71.0,57.0,58.0,66.0,59.0,51.0,63.0,60.0,55.0,86.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
2017-01,88.0,54.0,87.0,63.0,62.0,64.0,44.0,59.0,55.0,0.0,88.0,0.0,0.0,0.0,0.0,40.0,64.0,78.0,0.0,0.0,0.0
2017-02,74.0,49.0,60.0,56.0,61.0,51.0,44.0,54.0,46.0,0.0,26.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,69.0,0.0,0.0
2017-03,71.0,69.0,57.0,65.0,64.0,61.0,50.0,65.0,51.0,73.0,38.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04,75.0,78.0,58.0,69.0,67.0,59.0,55.0,65.0,56.0,77.0,36.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05,77.0,86.0,67.0,64.0,64.0,54.0,57.0,63.0,52.0,80.0,30.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06,78.0,83.0,72.0,83.0,82.0,69.0,65.0,77.0,58.0,55.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07,76.0,85.0,80.0,100.0,97.0,82.0,81.0,90.0,71.0,62.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2017-08,69.0,59.0,60.0,73.0,76.0,57.0,62.0,83.0,55.0,62.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,73.0,62.0,56.0,62.0,66.0,49.0,47.0,54.0,45.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,61.0,97.0,38.0,54.0,55.0,43.0,50.0,49.0,45.0,70.0,20.0,0.0,0.0,100.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0
2017-11,64.0,68.0,48.0,57.0,57.0,47.0,40.0,53.0,51.0,50.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,69.0,71.0,61.0,77.0,72.0,51.0,57.0,67.0,100.0,92.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,84.0,60.0,77.0,67.0,65.0,63.0,52.0,60.0,63.0,58.0,63.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,75.0,63.0,62.0,59.0,58.0,48.0,41.0,55.0,55.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,80.0,75.0,70.0,73.0,68.0,55.0,58.0,60.0,59.0,61.0,32.0,0.0,0.0,64.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0
2018-04,80.0,75.0,58.0,61.0,62.0,66.0,45.0,60.0,59.0,86.0,23.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,67.0,81.0,55.0,61.0,61.0,50.0,50.0,58.0,55.0,0.0,22.0,85.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06,64.0,76.0,61.0,75.0,78.0,62.0,67.0,68.0,59.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07,73.0,72.0,67.0,84.0,100.0,71.0,65.0,100.0,69.0,76.0,35.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08,65.0,64.0,57.0,71.0,77.0,62.0,55.0,71.0,59.0,64.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,64.0,70.0,55.0,58.0,69.0,44.0,39.0,57.0,50.0,65.0,28.0,100.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10,56.0,96.0,42.0,48.0,53.0,37.0,41.0,49.0,43.0,59.0,15.0,0.0,84.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11,57.0,77.0,47.0,52.0,62.0,40.0,38.0,50.0,46.0,60.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2018-12,59.0,67.0,64.0,69.0,68.0,48.0,50.0,65.0,55.0,70.0,32.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01,69.0,49.0,81.0,60.0,70.0,50.0,41.0,62.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,66.0,0.0,0.0
2019-02,71.0,49.0,85.0,54.0,61.0,52.0,35.0,49.0,47.0,76.0,80.0,0.0,0.0,0.0,0.0,84.0,74.0,0.0,100.0,0.0,0.0
2019-03,64.0,67.0,63.0,62.0,69.0,54.0,44.0,58.0,52.0,49.0,29.0,0.0,0.0,0.0,66.0,75.0,0.0,0.0,0.0,0.0,0.0
2019-04,69.0,71.0,59.0,59.0,64.0,58.0,41.0,55.0,51.0,63.0,31.0,0.0,95.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0
2019-05,63.0,81.0,60.0,60.0,71.0,52.0,47.0,56.0,51.0,55.0,34.0,79.0,0.0,0.0,0.0,38.0,58.0,0.0,0.0,0.0,0.0
2019-06,62.0,66.0,71.0,71.0,82.0,91.0,52.0,66.0,55.0,66.0,42.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07,70.0,65.0,70.0,77.0,87.0,100.0,57.0,75.0,59.0,74.0,37.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,62.0,64.0,56.0,70.0,76.0,71.0,48.0,70.0,57.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09,59.0,64.0,47.0,53.0,57.0,50.0,34.0,54.0,42.0,53.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,59.0,84.0,39.0,51.0,53.0,42.0,34.0,44.0,74.0,45.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,66.0,82.0,47.0,57.0,58.0,44.0,32.0,46.0,51.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12,54.0,62.0,62.0,64.0,60.0,46.0,43.0,53.0,54.0,66.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01,59.0,46.0,66.0,55.0,59.0,49.0,33.0,50.0,53.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,56.0,51.0,58.0,52.0,56.0,45.0,29.0,49.0,46.0,0.0,25.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,39.0,23.0,27.0,24.0,27.0,25.0,13.0,23.0,24.0,0.0,9.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0
2020-04,31.0,13.0,4.0,4.0,3.0,11.0,5.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05,34.0,25.0,10.0,8.0,8.0,14.0,7.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06,40.0,26.0,29.0,16.0,16.0,15.0,11.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07,30.0,26.0,17.0,19.0,18.0,13.0,15.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08,30.0,20.0,21.0,23.0,24.0,15.0,16.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,36.0,33.0,23.0,27.0,23.0,17.0,19.0,15.0,13.0,0.0,0.0,55.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10,32.0,37.0,27.0,34.0,26.0,18.0,26.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11,33.0,32.0,19.0,20.0,19.0,14.0,16.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12,23.0,22.0,11.0,15.0,12.0,11.0,13.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,26.0,19.0,18.0,18.0,16.0,16.0,11.0,14.0,9.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,37.0,26.0,36.0,27.0,22.0,20.0,18.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03,42.0,33.0,57.0,38.0,31.0,24.0,23.0,21.0,18.0,0.0,6.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04,47.0,44.0,59.0,40.0,33.0,41.0,21.0,24.0,25.0,59.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05,48.0,49.0,61.0,47.0,38.0,46.0,32.0,34.0,33.0,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,54.0,46.0,72.0,54.0,42.0,49.0,38.0,39.0,54.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,,,,,,,,,,,,,,,,,,,,,
2021-08,,,,,,,,,,,,,,,,,,,,,
2021-09,,,,,,,,,,,,,,,,,,,,,
2021-10,,,,,,,,,,,,,,,,,,,,,
2021-11,,,,,,,,,,,,,,,,,,,,,
2021-12,,,,,,,,,,,,,,,,,,,,,
2022-01,,,,,,,,,,,,,,,,,,,,,
2022-02,,,,,,,,,,,,,,,,,,,,,
2022-03,,,,,,,,,,,,,,,,,,,,,
2022-04,,,,,,,,,,,,,,,,,,,,,
2022-05,,,,,,,,,,,,,,,,,,,,,
2022-06,,,,,,,,,,,,,,,,,,,,,
2022-07,,,,,,,,,,,,,,,,,,,,,
2022-08,,,,,,,,,,,,,,,,,,,,,
2022-09,,,,,,,,,,,,,,,,,,,,,
2022-10,,,,,,,,,,,,,,,,,,,,,
2022-11,,,,,,,,,,,,,,,,,,,,,
2022-12,,,,,,,,,,,,,,,,,,,,,
2023-01,,,,,,,,,,,,,,,,,,,,,
2023-02,,,,,,,,,,,,,,,,,,,,,
2023-03,,,,,,,,,,,,,,,,,,,,,
2023-04,,,,,,,,,,,,,,,,,,,,,
2023-05,,,,,,,,,,,,,,,,,,,,,
2023-06,,,,,,,,,,,,,,,,,,,,,
2023-07,,,,,,,,,,,,,,,,,,,,,
2023-08,,,,,,,,,,,,,,,,,,,,,
2023-09,,,,,,,,,,,,,,,,,,,,,
2023-10,,,,,,,,,,,,,,,,,,,,,
2023-11,,,,,,,,,,,,,,,,,,,,,
2023-12,,,,,,,,,,,,,,,,,,,,,
2024-01,,,,,,,,,,,,,,,,,,,,,
2024-02,,,,,,,,,,,,,,,,,,,,,
2024-03,,,,,,,,,,,,,,,,,,,,,
2024-04,,,,,,,,,,,,,,,,,,,,,
2024-05,,,,,,,,,,,,,,,,,,,,,
2024-06,,,,,,,,,,,,,,,,,,,,,
2024-07,,,,,,,,,,,,,,,,,,,,,
2024-08,,,,,,,,,,,,,,,,,,,,,
2024-09,,,,,,,,,,,,,,,,,,,,,
2024-10,,,,,,,,,,,,,,,,,,,,,
2024-11,,,,,,,,,,,,,,,,,,,,,
2024-12,,,,,,,,,,,,,,,,,,,,,
2025-01,,,,,,,,,,,,,,,,,,,,,
2025-02,,,,,,,,,,,,,,,,,,,,,
2025-03,,,,,,,,,,,,,,,,,,,,,
2025-04,,,,,,,,,,,,,,,,,,,,,
2025-05,,,,,,,,,,,,,,,,,,,,,
2025-06,,,,,,,,,,,,,,,,,,,,,
2025-07,,,,,,,,,,,,,,,,,,,,,
2025-08,,,,,,,,,,,,,,,,,,,,,
2025-09,,,,,,,,,,,,,,,,,,,,,
2025-10,,,,,,,,,,,,,,,,,,,,,
2025-11,,,,,,,,,,,,,,,,,,,,,
2025-12,,,,,,,,,,,,,,,,,,,,,
