Month,Avila Adobe,Olvera Street,El Pueblo Los Angeles,Los Angeles museums,things to do in LA,things to do in Los Angeles,things to do in downtown LA,things to do in Los Angeles in winter,things to do in LA in December,things to do in LA in January,things to do in LA in February,indoor things to do in Los Angeles,things to do in LA for a couple hours,things to do in LA for 2 hours,things to do near Union Station Los Angeles,historic sites California,historical sites Los Angeles,Los Angeles attractions,historic attractions Los Angeles,Los Angeles history,cultural heritage Los Angeles,heritage tourism Los Angeles,historic district Los Angeles,Mexican heritage Los Angeles,family activities Los Angeles,kid friendly museums Los Angeles,kids activities downtown Los Angeles,family things to do in downtown LA,free museums Los Angeles,things to do in LA when it rains,rainy day activities Los Angeles,Getty Museum,La Brea Tar Pits,Griffith Observatory,oldest house in Los Angeles,oldest house Los Angeles,oldest home in Los Angeles,historic house Los Angeles,oldest building in Los Angeles,1840s Los Angeles,life in the 1840s,living history museum,historic house museum,interactive museums Los Angeles,cultural experiences Los Angeles
2014-01-01T00:00:00.000,0.0,59.0,,81.0,42.0,52.0,,,,,,,,,,0.0,,70.0,,91.0,,,,,64.0,,,,79.0,0.0,0.0,78.0,58.0,55.0,0.0,,,0.0,0.0,,100.0,0.0,0.0,,
2014-02-01T00:00:00.000,0.0,65.0,,63.0,39.0,54.0,,,,,,,,,,0.0,,61.0,,82.0,,,,,67.0,,,,31.0,0.0,0.0,64.0,56.0,47.0,0.0,,,0.0,0.0,,0.0,0.0,100.0,,
2014-03-01T00:00:00.000,0.0,69.0,,66.0,47.0,58.0,,,,,,,,,,0.0,,72.0,,94.0,,,,,84.0,,,,28.0,0.0,0.0,74.0,65.0,52.0,0.0,,,0.0,0.0,,0.0,59.0,0.0,,
2014-04-01T00:00:00.000,0.0,80.0,,61.0,43.0,50.0,,,,,,,,,,0.0,,73.0,,97.0,,,,,0.0,,,,26.0,0.0,0.0,76.0,60.0,78.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2014-05-01T00:00:00.000,0.0,89.0,,50.0,39.0,55.0,,,,,,,,,,0.0,,64.0,,89.0,,,,,0.0,,,,19.0,0.0,0.0,69.0,59.0,53.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2014-06-01T00:00:00.000,0.0,68.0,,68.0,51.0,67.0,,,,,,,,,,0.0,,77.0,,94.0,,,,,79.0,,,,37.0,0.0,0.0,68.0,67.0,60.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2014-07-01T00:00:00.000,0.0,73.0,,79.0,63.0,84.0,,,,,,,,,,0.0,,100.0,,93.0,,,,,82.0,,,,32.0,0.0,0.0,79.0,76.0,70.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2014-08-01T00:00:00.000,0.0,68.0,,62.0,57.0,69.0,,,,,,,,,,0.0,,84.0,,87.0,,,,,100.0,,,,17.0,0.0,0.0,71.0,62.0,65.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2014-09-01T00:00:00.000,0.0,59.0,,51.0,40.0,50.0,,,,,,,,,,0.0,,62.0,,72.0,,,,,0.0,,,,23.0,0.0,0.0,51.0,44.0,41.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2014-10-01T00:00:00.000,0.0,80.0,,40.0,35.0,43.0,,,,,,,,,,0.0,,51.0,,65.0,,,,,0.0,,,,13.0,0.0,0.0,45.0,42.0,42.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2014-11-01T00:00:00.000,0.0,71.0,,48.0,35.0,46.0,,,,,,,,,,0.0,,51.0,,62.0,,,,,66.0,,,,10.0,0.0,0.0,51.0,45.0,40.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2014-12-01T00:00:00.000,0.0,62.0,,43.0,40.0,56.0,,,,,,,,,,0.0,,70.0,,66.0,,,,,89.0,,,,20.0,0.0,0.0,59.0,44.0,45.0,0.0,,,0.0,0.0,,0.0,72.0,0.0,,
2015-01-01T00:00:00.000,76.0,47.0,,83.0,43.0,52.0,,,,,,,,,,0.0,,56.0,,72.0,,,,,81.0,,,,61.0,0.0,0.0,60.0,50.0,49.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2015-02-01T00:00:00.000,0.0,45.0,,54.0,38.0,44.0,,,,,,,,,,0.0,,51.0,,72.0,,,,,0.0,,,,17.0,0.0,0.0,50.0,48.0,42.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
2015-03-01T00:00:00.000,0.0,58.0,,53.0,43.0,48.0,,,,,,,,,,0.0,,63.0,,69.0,,,,,63.0,,,,24.0,0.0,0.0,56.0,45.0,45.0,0.0,,,0.0,0.0,,0.0,76.0,0.0,,
2015-04-01T00:00:00.000,0.0,64.0,,47.0,41.0,49.0,,,,,,,,,,0.0,,57.0,,74.0,,,,,69.0,,,,19.0,0.0,0.0,57.0,51.0,45.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,
